dt,num_repos
2017-1,139401
2017-10,197609
2017-11,201153
2017-12,188099
2017-2,154661
2017-3,188472
2017-4,156382
2017-5,163925
2017-6,176544
2017-7,174088
2017-8,180175
2017-9,182669
2018-1,568644
2018-10,346454
2018-11,311321
2018-12,298092
2018-2,699325
2018-3,887845
2018-4,674530
2018-5,381615
2018-6,278640
2018-7,295699
2018-8,297658
2018-9,300241
2019-1,324359
2019-2,366166
2019-3,448344
2019-4,410317
2019-5,442927
2019-6,9722
