dt,num_mentions
"2016-7-25","105"
"2019-3-31","68"
"2015-4-14","97"
"2016-1-15","75"
"2009-7-24","5"
"2015-2-16","74"
"2015-5-8","79"
"2009-8-15","3"
"2016-1-31","45"
"2008-12-9","5"
"2013-9-18","64"
"2013-8-21","68"
"2011-4-28","16"
"2010-4-3","9"
"2018-5-10","115"
"2018-3-20","138"
"2017-6-15","136"
"2012-5-26","20"
"2018-10-27","77"
"2012-10-19","39"
"2019-6-26","169"
"2009-8-14","8"
"2015-12-21","64"
"2017-9-8","118"
"2010-6-7","16"
"2009-5-6","1"
"2016-10-22","48"
"2009-10-2","5"
"2018-5-26","68"
"2016-4-29","110"
"2012-11-3","24"
"2015-3-6","80"
"2015-9-18","76"
"2018-7-3","127"
"2016-12-4","63"
"2010-9-26","6"
"2017-8-7","105"
"2010-10-10","14"
"2011-6-18","16"
"2010-5-20","15"
"2011-5-28","18"
"2009-12-21","13"
"2011-7-13","34"
"2012-1-15","24"
"2016-7-7","97"
"2013-11-29","62"
"2018-1-31","130"
"2015-7-27","105"
"2011-9-28","18"
"2018-4-30","104"
"2019-4-6","78"
"2015-1-3","31"
"2013-2-6","75"
"2013-3-30","26"
"2010-3-21","9"
"2011-4-21","21"
"2012-11-15","51"
"2016-12-15","108"
"2014-7-26","36"
"2015-2-4","81"
"2016-10-31","81"
"2016-1-18","84"
"2014-3-4","79"
"2008-12-3","6"
"2019-6-15","70"
"2012-6-11","36"
"2015-8-20","79"
"2018-2-19","112"
"2016-11-11","93"
"2008-11-21","1"
"2018-1-4","90"
"2016-3-16","89"
"2011-10-24","26"
"2009-9-9","6"
"2008-8-29","2"
"2012-7-14","28"
"2010-11-15","17"
"2010-12-9","15"
"2014-9-3","65"
"2013-12-17","75"
"2010-11-10","19"
"2014-4-9","77"
"2016-10-28","91"
"2015-9-9","79"
"2014-10-25","39"
"2011-2-5","17"
"2017-7-24","105"
"2011-7-31","11"
"2010-11-28","8"
"2009-6-20","1"
"2018-1-18","101"
"2013-4-28","47"
"2012-5-15","39"
"2011-10-6","37"
"2014-9-24","63"
"2015-7-16","95"
"2009-8-6","7"
"2013-2-21","71"
"2014-11-26","73"
"2010-9-29","20"
"2016-1-8","64"
"2014-8-5","68"
"2009-10-25","7"
"2019-1-6","78"
"2011-11-4","34"
"2013-12-9","72"
"2009-3-12","6"
"2008-10-14","3"
"2010-11-1","13"
"2010-12-22","20"
"2011-10-29","15"
"2018-2-8","127"
"2009-9-19","6"
"2017-9-23","81"
"2018-12-27","78"
"2010-2-20","11"
"2018-4-14","64"
"2013-11-5","67"
"2018-3-17","69"
"2013-12-10","73"
"2014-5-25","38"
"2009-10-16","5"
"2016-9-28","98"
"2018-11-2","107"
"2017-9-20","127"
"2011-11-17","28"
"2013-3-4","62"
"2015-10-27","80"
"2011-8-23","32"
"2013-1-19","39"
"2016-5-16","92"
"2019-4-27","75"
"2016-4-11","112"
"2014-10-26","46"
"2018-3-28","115"
"2014-7-25","74"
"2017-3-11","60"
"2018-11-29","128"
"2010-5-8","7"
"2010-1-13","18"
"2011-11-16","25"
"2014-3-17","80"
"2013-9-6","49"
"2010-7-24","12"
"2012-4-26","38"
"2010-9-21","15"
"2017-4-4","129"
"2019-6-12","128"
"2013-12-5","76"
"2016-9-13","81"
"2010-8-23","23"
"2010-3-3","14"
"2010-12-8","21"
"2013-1-16","60"
"2014-12-1","69"
"2010-5-15","6"
"2010-2-19","14"
"2016-11-29","100"
"2009-5-8","7"
"2008-10-3","4"
"2013-6-6","58"
"2008-11-9","4"
"2015-9-19","30"
"2016-6-2","92"
"2018-6-24","58"
"2012-9-24","50"
"2012-9-30","25"
"2017-1-30","102"
"2017-2-2","93"
"2012-8-27","41"
"2017-4-15","61"
"2013-10-13","51"
"2015-12-15","90"
"2013-5-21","64"
"2009-11-1","7"
"2009-3-23","5"
"2014-9-25","63"
"2016-9-23","76"
"2016-2-26","88"
"2012-11-18","28"
"2011-4-26","29"
"2012-7-4","47"
"2008-11-29","2"
"2011-12-18","27"
"2012-4-16","25"
"2013-3-27","78"
"2014-1-26","29"
"2014-10-5","36"
"2018-5-28","118"
"2017-4-7","100"
"2015-8-4","71"
"2013-7-15","75"
"2019-5-31","99"
"2010-12-19","13"
"2010-11-20","11"
"2017-6-17","78"
"2013-1-7","47"
"2015-10-28","83"
"2017-1-13","99"
"2018-10-13","65"
"2011-3-24","21"
"2016-10-6","109"
"2009-8-1","3"
"2018-2-27","125"
"2013-3-5","71"
"2017-2-4","69"
"2015-11-22","42"
"2010-11-19","19"
"2018-12-7","133"
"2017-6-6","98"
"2009-1-12","3"
"2015-1-5","70"
"2014-10-6","67"
"2016-11-27","73"
"2018-8-10","127"
"2017-12-9","76"
"2012-10-3","52"
"2010-2-9","16"
"2013-2-23","33"
"2011-3-19","24"
"2016-10-10","73"
"2016-11-16","115"
"2015-2-13","82"
"2012-12-15","32"
"2015-3-17","79"
"2017-10-15","87"
"2016-5-10","88"
"2013-1-24","56"
"2018-12-20","110"
"2019-1-23","137"
"2014-1-25","47"
"2017-11-14","132"
"2009-12-9","14"
"2008-11-15","1"
"2009-11-8","5"
"2017-3-1","88"
"2019-5-9","130"
"2011-4-3","19"
"2014-7-18","75"
"2011-6-11","10"
"2014-6-5","74"
"2010-9-23","17"
"2015-10-19","94"
"2016-10-21","78"
